player name,position,team,birthdate
Wesley Johnson,SF,Los Angeles Clippers,1987-07-11
P.J. Tucker,SF,Phoenix Suns,1985-05-05
Terrence Ross,SF,Toronto Raptors,1991-02-05
Robert Covington,SF,Philadelphia 76ers,1990-12-14
Shabazz Muhammad,SF,Minnesota Timberwolves,1992-11-13
Jared Dudley,SF,Washington Wizards,1985-07-10
Anthony Davis,PF,New Orleans Pelicans,1993-03-11
Blake Griffin,PF,Los Angeles Clippers,1989-03-16
Pau Gasol,PF,Chicago Bulls,1980-07-06
LaMarcus Aldridge,PF,San Antonio Spurs,1985-07-19
Kevin Love,PF,Cleveland Cavaliers,1988-09-07
Paul Millsap,PF,Atlanta Hawks,1985-02-10
Chris Bosh,PF,Miami Heat,1984-03-24
Zach Randolph,PF,Memphis Grizzlies,1981-07-16
Dirk Nowitzki,PF,Dallas Mavericks,1978-06-19
Tim Duncan,PF,San Antonio Spurs,1976-04-25
Derrick Favors,PF,Utah Jazz,1991-07-15
Greg Monroe,PF,Milwaukee Bucks,1990-06-04
Serge Ibaka,PF,Oklahoma City Thunder,1989-09-18
Jared Sullinger,PF,Boston Celtics,1992-03-04
Markieff Morris,PF,Washington Wizards,1989-09-02
Jeff Green,PF,Los Angeles Clippers,1986-08-28
Marcin Gortat,PF,Washington Wizards,1984-02-17
Jordan Hill,PF,Indiana Pacers,1987-07-27
Kenneth Faried,PF,Denver Nuggets,1989-11-19
Ryan Anderson,PF,New Orleans Pelicans,1988-05-06
Donatas Motiejunas,PF,Houston Rockets,1990-09-20
Carlos Boozer,PF,Los Angeles Lakers,1981-11-20
Patrick Patterson,PF,Toronto Raptors,1989-03-14
Taj Gibson,PF,Chicago Bulls,1985-06-24
Ed Davis,PF,Portland Trail Blazers,1989-06-05
Boris Diaw,PF,San Antonio Spurs,1982-04-16
Marreese Speights,PF,Golden State Warriors,1987-08-04
David West,PF,San Antonio Spurs,1980-08-29
Luis Scola,PF,Toronto Raptors,1980-04-30
Kris Humphries,PF,Atlanta Hawks,1985-02-06
Nikola Vucevic,C,Orlando Magic,1990-10-24
Marc Gasol,C,Memphis Grizzlies,1985-01-29
DeMarcus Cousins,C,Sacramento Kings,1990-08-13
DeAndre Jordan,C,Los Angeles Clippers,1988-07-21
Al Horford,C,Atlanta Hawks,1986-06-03
Tyson Chandler,C,Phoenix Suns,1982-10-02
Andre Drummond,C,Detroit Pistons,1993-08-10
Al Jefferson,C,Charlotte Hornets,1985-01-04
Gorgui Dieng,C,Minnesota Timberwolves,1990-01-18
Dwight Howard,C,Houston Rockets,1985-12-08
Jonas Valanciunas,C,Toronto Raptors,1992-05-06
Enes Kanter,C,Oklahoma City Thunder,1992-05-20
Tristan Thompson,C,Cleveland Cavaliers,1991-03-13
Timofey Mozgov,C,Cleveland Cavaliers,1986-07-16
Roy Hibbert,C,Los Angeles Lakers,1986-12-11
Kelly Olynyk,C,Boston Celtics,1991-04-19
Rudy Gobert,C,Utah Jazz,1992-06-26
Mason Plumlee,C,Portland Trail Blazers,1990-03-05
Channing Frye,C,Cleveland Cavaliers,1983-05-17
Nerlens Noel,C,Philadelphia 76ers,1994-04-10
Brook Lopez,C,Brooklyn Nets,1988-04-01
Omer Asik,C,New Orleans Pelicans,1986-07-04
Tyler Zeller,C,Boston Celtics,1990-01-17
Nene,C,Washington Wizards,1982-09-13
Joakim Noah,C,Chicago Bulls,1985-02-25
Henry Sims,C,Brooklyn Nets,1990-03-27
Steven Adams,C,Oklahoma City Thunder,1993-07-20
Zaza Pachulia,C,Dallas Mavericks,1984-02-10
Alex Len,C,Phoenix Suns,1993-06-16
Chris Kaman,C,Portland Trail Blazers,1982-04-28
